Index,Category,Feature,Level,Description,Explanation
4.2.1,Address,Threats,1, Broad regional breeding season threats identified,"Broad (e.g., agriculture, urbanization) regionally-specific threats identified (using, e.g., Conservation Standards, Audubon threats map)"
4.2.2,Address,Threats,2, Broad regional nonbreeding season threats identified,"Broad (e.g., conversion to pasture) regionally-specific threats identified for nonbreeding season, including local knowledge"
4.2.3,Address,Threats,3, Socioeconomic drivers of threats identified,"Preliminary analysis of anthropogenic drivers of threats, including assessment of societal value/perceptions of threats"
4.2.4,Address,Threats,4," Systematic threats analysis, refinement, and prioritization","Threats prioritization (e.g., Conservation Standards) also includes feasibility based on human dimensions assessment"
4.2.5,Address,Threats,5, Existing campaigns for addressing priority threats identified,"Analysis of partnering opportunities (allies) for addressing threats, especially in areas of high species density and/or negative trajectories "
4.3.1,Address,Limiting Factors,1, Threat analysis applied to focus areas,"Analysis of links between IPM model (where/when), focus area determination (3.3.5), and identified threats "
4.3.2,Address,Limiting Factors,2, Intersection between species ecology and threats explored,"Intersection of broad threat and species ecology allows refinement of threat to level of a limiting factor hypothesis (e.g., wood encroachment removal from nonbreeding season grasslands)"
4.3.3,Address,Limiting Factors,3, Socioeconomic analysis of hypothetical limiting factor,"identification of anthropogenic drivers underlying limiting factor (e.g., what are the human dimensions aspects leading to woody encroachment in nonbreeding season grasslands)"
4.3.4,Address,Limiting Factors,4, Local or Traditional Ecological Knowledge included ,Full incorporation of additional local knowledge in identifying specific limiting factor to be addressed
4.3.5,Address,Limiting Factors,5, Species-specific limiting factor(s) identified,"Limiting factor identified and refined at scale sufficient to design adaptive research or initiate targeted conservation action (e.g., wood encroachment removal from nonbreeding season grasslands)"
5.1.1,Strategize,Broad-scale Threats,1, Prioritize alignment with broad-scale threat reduction campaigns,"From allied partner opportunity analysis (4.2.5), prioritize existing broadscale efforts most compatible with meeting species-specific needs (breeding and/or nonbreeding)"
5.1.2,Strategize,Broad-scale Threats,2, Identify compatible allied partnership goals and objectives,"Listen carefully, understand aligned partner goals and objectives to determine entry points for mutual-benefit strategic planning"
5.1.3,Strategize,Broad-scale Threats,3, Identify beneficial practices for working with outside partners,Draw from social science expertise on strategies for alignment with partners with different goals and objectives than bird species recovery
5.1.4,Strategize,Broad-scale Threats,4, Develop strategies for aligning bird objectives with allies,"Identify programs (entry points) most closely aligned with species objectives (e.g., CRP in Food Bill, rotational grazing, dynamic landscape forest harvest planning, etc.)"
5.1.5,Strategize,Broad-scale Threats,5, Subcommittee(s) established to influence/work with partner opportunities,"Create dedicated and intentional structure within working group to continue to develop relationships with allies (e.g., collective representative to lobby policy, presence of forestry counsels, etc.)"
5.2.1,Strategize,Limiting Factors,1, Establish species population goals and objectives,"How is ""recovery"" defined? Population goals as either numbers or trends, ideally identified both rangewide and parsed by focus areas"
5.2.2,Strategize,Limiting Factors,2, Develop influence diagram/results chain to address limiting factor,"Diagram of chain of events, including threats, barriers, actions, and issues leading to mitigation or elimination of limiting factor(s)"
5.2.3,Strategize,Limiting Factors,3, Incorporate human well being objectives into results chain,Results chain includes human well being or affected community benefits that accrue from conservation actions
5.2.4,Strategize,Limiting Factors,4," Determine sequential stages, progress metrics, research & monitoring plan","Results chain clearly identifies sequential actions or research, inflection points for adaptive decisions, intermediate and final evaluation metrics"
5.2.5,Strategize,Limiting Factors,5, Estimate costs required to reach limiting factor mitigation,Estimates of costs of each stage of research/mitigation plan
5.3.1,Strategize,Partnerships and Funding,1, Full annual cycle conservation plan completed,Plan includes review of biology and human dimensions profile; threats analysis; limiting factor analysis; research plan; strategies to reduce threats and mitigate limiting factors
5.3.2,Strategize,Partnerships and Funding,2, Full annual cycle conservation investment plan completed,"As above, but adds cost of investments of recovery phases; plan for scaling up conservation actions; monitoring and evaluation strategy "
5.3.3,Strategize,Partnerships and Funding,3, Funding source and partnership analysis completed,"What agencies, policies, or programs are potential sources of funding for different components of research/recovery conservation plan"
5.3.4,Strategize,Partnerships and Funding,4, Strategy to contact and court funding sources,Communication and outreach strategy to secure funding for plan components
5.3.5,Strategize,Partnerships and Funding,5, Funding secured to proceed with conservation plan implementation,Plan includes strategy for moving forward under scenarios of partial funding; ideally guided by results chain breakdown in 5.2.4 & 5.2.5
6.1.1,Implement,Adaptive Research,1, Focus area habitat restoration research initiated,Habitat management need not be delayed until full plan completion if research is needed to test limiting factor hypotheses
6.1.2,Implement,Adaptive Research,2, Habitat restoration effectiveness confirmed,"Monitoring confirms effectiveness of habitat restoration (or other local action, e.g. hunting management) as a means of mitigating limiting factor"
6.1.3,Implement,Adaptive Research,3, Research/restoration conducted with affected community involvement,"Full participation of affected community as partners in research and habitat manipulations (or other local actions, e.g. hunting management)"
6.1.4,Implement,Adaptive Research,4, Scale of restoration/management strategy expanded,Initial success of mitigation strategy suggests expanding strategy to other localities within or outside focus area; cycle 6.1.1 to 6.1.4 repeats
6.1.5,Implement,Adaptive Research,5, Monitoring of both social and bird population outcomes,Monitoring continues to confirm success of limiting factor mitigation OR requires adaptive changes that may necessitate revisiting other segments of the wheel
6.2.1,Implement,Ecosystem Change,1, Partnership strategies for broad-scale change initiated,"Broad-scale threat reduction strategies initiated through partnerships with allied campaigns (e.g., grassland protection/restoration, CRP, feral cat control)"
6.2.2,Implement,Ecosystem Change,2, Monitoring of species population response to broad threat mitigation,Are target bird species populations responding positively to broad-scale threat mitigation?
6.2.3,Implement,Ecosystem Change,3, Species requirements integrated successfully into ecosystem conservation,"Based on species population response, do inclusion of species-specific requirements need to be re-negotiated?"
6.2.4,Implement,Ecosystem Change,4, Monitoring/assessment of species group/allied campaign relationship,Social science analysis to evaluate relationship between bird species working group and recommend adaptive changes
6.2.5,Implement,Ecosystem Change,5, Effective communication of success of ecosystem partnership,"Continued reinforcement of positive effects of bird species/threats reduction campaign alliance (e.g., flood control, drinking water, human health improvements, etc.)"
6.3.1,Implement,Sustainability,1, Focus area recovery scaled up to rangewide population recovery,Initial success mitigating limiting factors within focus areas scaled up to achieve rangewide population recovery; recycle through wheel 
6.3.2,Implement,Sustainability,2, Rangewide adaptive monitoring plan in place,Long-term monitoring plan designed to detect species vulnerabilities (new limiting factors) and trigger adaptive recovery response 
6.3.3,Implement,Sustainability,3," Final reporting, documentation, and outreach","Documentation of process, barriers and solutions, successes completed to provide guidance to other species/ecosystem recovery efforts"
6.3.4,Implement,Sustainability,4, Network and capacity building,"Attention given throughout recovery process to building local community capacity (biologist & sociologist training), education for next generation conservationists"
6.3.5,Implement,Sustainability,5, Established relationships transcend goals/issues,"Established individual and community relationships and problem-solving mentality transcend recovery process, can be leveraged for future conservation action"
